CULTURE,ANIMALS,GEOGRAPHY,SPACE
Did you know that the first Prime Minisister of Canada was John A. MacDonald?,Did you know meerkats are terroritorial animals,Did you know that Antigua and Barbuda is part of North America,"Did you know the four farthest planets that orbit the sun are called gas giants, they do not have a solid surface. "
Did you know that Kim Campbell was the first female Prime Minister of Canada?,"Did you know that meerkats are always standing on guard, they are on the lookout for rival meerkats trying to move in on their territories",Did you know the capital of Argentina is Buenos Aires,"Did you know the four closest planets orbiting the sun are Mercury, Venus, Earth, and Mars"
,"Did you know meerkats let our alarm calls when they see a rival meerkat, when this happens the family of meerkats will stand tall to scare rivals away.","Did you know Argentina has a population of approximately 44,300,000","Did you know the four farthest planets that orbit the sun are called Jupiter, Saturn, Neputne, and Uranus"
,"Did you know meerkats have three jobs within their communities, guard, diggers, and babysitters meerkats",Did you know the currency in Aregntina is the Argentine peso,Did you know Mercury does not have a moon
,Did you know when a guard meerkat spots a predator it sends our an alarm that sends all the meerkats into their underground safety dens. ,Did you know that Argentina is part of South America,Did you know it takes eighty eight days for Mercury to orbit the sun
,Did you know digger meerkat's job is to dig bolt holes. Bolt holes provide fast gateways for meerkats that in danger.  ,,Did you know Mercury is the smallest of the eight planets orbiting the sun
,"Did you know digger meerkats dig to find food, they usually eat lizards, small reptiles, insects and larvae. ",,Did you know Mercury is only a little bigger than Earth's moon
,"Didi you know when the meerkat parents go looking for food, the parents leave their pups with other adult meerkat babysitters.",,Did you know NASA stands for Nationak Aeronautics and Space Administration
,Did you know a jaguar's coat pattern looks similar to a leopard's,,"Did you know iif you were travelling by spacecraft, it would take approximately five months to get to Mecury"
,Did you know a tiger's strip helps the cat blends in with tall grasses as they stalk their prey.,,Did you know Venus does not have a moon
,Did you know that no two stripe patterns on tiger are alike. ,,Did to know Venus is the planet closest to Earth 
,Did you know a leoparfd's black spots are called rosettes.,,
,Did you know the mane of male lion make them look larger and more intimidating,,
,Did you know jaguars can wegh between 100 to 250 pounds and can be 5 to 6 feet long,,
,Did you know leopards can weigh between 65 to 175 pounds and can be between 4 to 6 feet long,,
,Did you know bengal tigers can weight between 240 to 500 pounds and can be 5 to 6 feet long,,
,Did you know African lions can weigh between  265 to 420 pounds and can be as long 4.5 to 6.5 long ,,
,"Did you know there are six subspecies of tigers that are not extinct. They are bengal tiger, siberian tigers, sumatran tigers, malayan tigers, indochinese tigers and south china tiger",,
,"Did you know there are three extinct subspecies of tigers. They are the bali tiger, javan tiger, and caspian tiger.",,
,Did you know you jaguars jaws are powerfule enough to crush turtle shells.,,
,"Did you know that snow leopard's paws act like snow shoes, this allow them to walk on snow without sinking",,
,Did you know a group of leopards is called a leap.,,
,Did you know you can tell how old a male lion is by the colour of his mane. The darker the colour the older he is.,,
,Did you know llions survive droughts in Africa by eating melons. ,,
,Did you know lions can eat up to 40 pounds of meat in one sitting.,,
,Did you know a jaguar's roar sounds like a deep cough,,
,Did you know jaguars predominately live in central and south america,,
,"Did you know jaguar are good swimmers, they can hunt as they swim. ",,
